,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
3369,CA,Walnut Grove CDP,61.2,1,1.6,7.1,43.6
3370,CA,Walnut Park CDP,56.7,0.4,1.7,0.6,97.4
3371,CA,Warm Springs CDP,62.5,4.4,0.9,3.8,46
3372,CA,Warner Valley CDP,100,0,0,0,0
3373,CA,Wasco city,49.2,7.6,1.1,0.7,76.7
3374,CA,Washington CDP,89.7,0.5,2.2,0,5.9
3375,CA,Waterford city,71,0.9,1.3,1.5,42.3
3376,CA,Waterloo CDP,78.7,0,0.9,3.7,26.6
3377,CA,Watsonville city,43.7,0.7,1.2,3.3,81.4
3378,CA,Waukena CDP,79.6,0,2.8,0,41.7
3379,CA,Wawona CDP,81.7,1.2,1.8,2.4,7.1
3380,CA,Weaverville CDP,87.8,0.3,4.2,1.1,7.1
3381,CA,Weed city,74.9,6.9,2.4,4.1,16
3382,CA,Weedpatch CDP,45.6,0.3,2.9,0.5,93.5
3383,CA,Weldon CDP,89.9,0.2,3.1,0.4,8.2
3384,CA,Weott CDP,87.5,0,4.5,0.3,6.9
3385,CA,West Athens CDP,18.1,52.4,0.4,1.3,44
3386,CA,West Bishop CDP,91,0.4,1.1,1.7,10
3387,CA,West Carson CDP,35.2,10.7,0.9,31,32.7
3388,CA,West Covina city,42.8,4.5,1,25.8,53.2
3389,CA,West Goshen CDP,54,0.4,2,1.4,70.1
3390,CA,Westhaven-Moonstone CDP,89.9,0.7,3.2,1.5,4.4
3391,CA,West Hollywood city,84.2,3.2,0.3,5.4,10.5
3392,CA,Westlake Village city,88.6,1.2,0.1,5.9,6.4
3393,CA,Westley CDP,35.2,0,0.8,0.2,96
3394,CA,West Menlo Park CDP,81.5,0.8,0.1,11.4,5.5
3395,CA,Westminster city,35.7,0.9,0.4,47.5,23.6
